term_en,reason
points fluctuate,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
prescribed text,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
previous knowledge,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
previous paragraph,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
previous section,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
prime purpose,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
quite difficult,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
quite short,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
quite similar,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
quite simply,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
quite well,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
rather less,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
rd edition,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
read off,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
read Part,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
real processes,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
real sales,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
real work,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
real world,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
recruitment advertisement,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
red box,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
relatively easy,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
remind yourself,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
same time,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
same way,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
second book,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
second half,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
second phase,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
second sentence,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
set aside,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
several years,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
shall use,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
short articles,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
short extracts,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
short sentence,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
simple arithmetic,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
simple example,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
single word,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
six points,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
small groups,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
someone else,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
soon found,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
statistical tool,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
still need,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
stock market,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
strong link,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
such activities,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
such cases,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
such circumstances,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
such data,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
such matters,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
such terms,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
system itself,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
system rather,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
take another,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
take another look,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
technical details,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
time ago,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
time during,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
time thinking,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
times before,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
Today's material,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
too much time,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
top left,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
trade deficits,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
us back,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
US trade,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
used during,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
vacuum cleaner,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
ve already,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
well beyond,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
while later,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
wide range,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
worker per,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
worker per week,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
worth pointing,"generic English collocation, not domain terminology -- recurs by frequency alone, no cross-book consistency needed"
